symbol,date,open,high,low,close,volume,change,changePercent,vwap
AMZN,2025-10-06,221.0,221.73,216.03,220.9,43690900,-0.1,-0.04524887,219.915
AMZN,2025-10-03,223.44,224.2,219.34,219.51,43639033,-3.93,-1.76,221.6225
AMZN,2025-10-02,221.01,222.81,218.95,222.41,41258600,1.4,0.63346,221.295
AMZN,2025-10-01,217.36,222.15,216.61,220.63,43933834,3.27,1.5,219.1875
AMZN,2025-09-30,222.03,222.24,217.89,219.57,48396400,-2.46,-1.11,220.4325
AMZN,2025-09-29,220.08,222.6,219.3,222.17,44259200,2.09,0.94965,221.0375
AMZN,2025-09-26,219.08,221.05,218.02,219.78,41650100,0.7,0.31952,219.4825
AMZN,2025-09-25,220.06,220.67,216.47,218.15,52226328,-1.91,-0.86795,218.8375
AMZN,2025-09-24,224.15,224.56,219.45,220.21,49509033,-3.94,-1.76,222.0925
AMZN,2025-09-23,227.83,227.86,220.07,220.71,70956200,-7.12,-3.13,224.1175
AMZN,2025-09-22,230.56,230.57,227.51,227.63,45914506,-2.93,-1.27,229.0675
AMZN,2025-09-19,232.37,234.16,229.7,231.48,97943200,-0.89,-0.38301,231.9275
AMZN,2025-09-18,232.5,233.48,228.79,231.23,37931738,-1.27,-0.54624,231.5
AMZN,2025-09-17,233.77,234.3,228.71,231.62,42815230,-2.15,-0.91971,232.1
AMZN,2025-09-16,232.94,235.9,232.23,234.05,38203912,1.12,0.47652,233.78
AMZN,2025-09-15,230.63,233.73,230.32,231.43,33243328,0.805,0.34688,231.5275
AMZN,2025-09-12,230.35,230.79,226.29,228.15,38496218,-2.2,-0.95507,228.895
AMZN,2025-09-11,231.49,231.53,229.34,229.95,37485600,-1.54,-0.66526,230.5775
AMZN,2025-09-10,237.52,237.68,229.1,230.33,60907714,-7.18,-3.03,233.6575
AMZN,2025-09-09,236.36,238.85,235.08,238.24,27033800,1.89,0.7954,237.1325
AMZN,2025-09-08,234.94,237.6,233.75,235.84,33947104,0.9,0.38308,235.5325
AMZN,2025-09-05,235.19,236.0,231.93,232.33,36721802,-2.86,-1.22,233.8625
AMZN,2025-09-04,231.19,235.77,230.78,235.68,59391800,4.5,1.94,233.355
AMZN,2025-09-03,225.21,227.17,224.36,225.99,29223134,0.78,0.34634,225.6825
AMZN,2025-09-02,223.52,226.17,221.83,225.34,38843900,1.82,0.81424,224.215
AMZN,2025-08-29,231.32,231.81,228.16,229.0,26199200,-2.32,-1.0,230.0725
AMZN,2025-08-28,229.01,232.71,228.02,231.6,33679600,2.59,1.13,230.335
AMZN,2025-08-27,228.57,229.87,227.81,229.12,21254500,0.55,0.24063,228.8425
AMZN,2025-08-26,227.11,229.0,226.02,228.71,26105400,1.6,0.7045,227.71
AMZN,2025-08-25,227.35,229.6,227.31,227.94,22633700,0.59,0.25951,228.05
AMZN,2025-08-22,222.79,229.14,220.82,228.84,37315341,6.05,2.72,225.3975
AMZN,2025-08-21,222.65,222.78,220.5,221.95,32140500,-0.7,-0.31439,221.97
AMZN,2025-08-20,227.12,227.27,220.92,223.81,36604319,-3.31,-1.46,224.78
AMZN,2025-08-19,230.09,230.53,227.12,228.01,29891012,-2.08,-0.90399,228.9375
AMZN,2025-08-18,230.23,231.91,228.33,231.49,25248900,1.27,0.54728,230.49
AMZN,2025-08-15,232.58,234.08,229.81,231.03,39649244,-1.55,-0.66644,231.875
AMZN,2025-08-14,227.4,233.11,227.02,230.98,61545824,3.58,1.57,229.6275
AMZN,2025-08-13,222.0,224.92,222.0,224.56,36508335,2.56,1.15,223.37
AMZN,2025-08-12,222.23,223.5,219.05,221.47,37254707,-0.76,-0.34199,221.5625
AMZN,2025-08-11,221.78,223.05,220.4,221.3,31646222,-0.48,-0.21643,221.6325
AMZN,2025-08-08,223.14,223.8,221.88,222.69,32970500,-0.45,-0.20167,222.8775
AMZN,2025-08-07,221.0,226.22,220.82,223.13,40603513,2.13,0.9638,222.7925
AMZN,2025-08-06,214.7,222.65,213.74,222.31,54823045,7.62,3.54,218.35
AMZN,2025-08-05,213.05,216.3,212.87,213.75,51505121,0.7,0.32856,213.9925
AMZN,2025-08-04,217.4,217.44,211.42,211.65,77890146,-5.75,-2.64,214.4775
AMZN,2025-08-01,217.21,220.44,212.8,214.75,122258801,-2.46,-1.13,216.3
AMZN,2025-07-31,235.77,236.53,231.4,234.11,104357300,-1.66,-0.70408,234.4525
AMZN,2025-07-30,231.64,231.8,229.29,230.19,32993300,-1.45,-0.62597,230.73
AMZN,2025-07-29,234.15,234.72,230.31,231.01,33716220,-3.14,-1.34,232.5475
AMZN,2025-07-28,233.35,234.29,232.25,232.79,26300138,-0.56,-0.23998,233.17
AMZN,2025-07-25,232.22,232.48,231.18,231.44,28712100,-0.78,-0.33589,231.83
AMZN,2025-07-24,229.17,236.0,228.64,232.23,42902300,3.06,1.34,231.51
AMZN,2025-07-23,228.47,228.79,227.09,228.29,28294900,-0.18,-0.07878496,228.16
AMZN,2025-07-22,229.68,230.0,226.35,227.47,37483702,-2.21,-0.96221,228.375
AMZN,2025-07-21,225.84,229.69,225.65,229.3,40297600,3.47,1.53,227.62
AMZN,2025-07-18,225.14,226.4,222.98,226.13,37833807,0.99,0.43973,225.1625
AMZN,2025-07-17,223.32,224.5,222.51,223.88,31855831,0.56,0.25076,223.5525
AMZN,2025-07-16,225.88,226.1,222.18,223.19,39535926,-2.69,-1.19,224.3375
AMZN,2025-07-15,226.2,227.27,225.46,226.35,34907300,0.15,0.066313,226.32
AMZN,2025-07-14,225.07,226.66,224.24,225.69,35702600,0.62,0.27547,225.415
AMZN,2025-07-11,223.58,226.68,222.37,225.02,50518307,1.44,0.64406,224.4125
AMZN,2025-07-10,221.55,222.79,219.7,222.26,30370600,0.71,0.32047,221.575
AMZN,2025-07-09,221.07,224.29,220.47,222.54,38155121,1.47,0.66495,222.0925
AMZN,2025-07-08,223.92,224.0,218.43,219.36,45692000,-4.55,-2.04,221.4275
AMZN,2025-07-07,223.0,224.29,222.37,223.47,36604139,0.47,0.21076,223.2825
AMZN,2025-07-03,221.82,224.01,221.36,223.41,29632400,1.59,0.7168,222.65
AMZN,2025-07-02,219.73,221.6,219.06,219.92,30894200,0.19,0.08646976,220.0775
AMZN,2025-07-01,219.5,221.88,217.93,220.46,39256830,0.96,0.43736,219.9425
AMZN,2025-06-30,223.52,223.82,219.12,219.39,58887800,-4.13,-1.85,221.4625
AMZN,2025-06-27,219.92,223.3,216.74,223.3,119217138,3.38,1.54,220.815
AMZN,2025-06-26,213.12,218.04,212.01,217.12,50480814,4.0,1.88,215.0725
AMZN,2025-06-25,214.62,216.03,211.11,211.99,31755700,-2.62,-1.23,213.4375
AMZN,2025-06-24,212.14,214.34,211.05,212.77,38378800,0.635,0.29697,212.575
AMZN,2025-06-23,209.79,210.39,207.31,208.47,37311725,-1.32,-0.6292,208.99
AMZN,2025-06-20,214.68,214.89,208.27,209.69,75350733,-4.99,-2.32,211.8825
AMZN,2025-06-18,215.09,217.96,212.34,212.52,44360509,-2.57,-1.19,214.4775
AMZN,2025-06-17,215.2,217.41,214.56,214.82,32086300,-0.375,-0.17658,215.4975
AMZN,2025-06-16,212.31,217.06,211.6,216.1,33284200,3.79,1.79,214.2675
AMZN,2025-06-13,209.96,214.05,209.62,212.1,29337800,2.14,1.02,211.4325
AMZN,2025-06-12,211.78,213.58,211.33,213.24,27640000,1.46,0.68939,212.4825
AMZN,2025-06-11,217.41,218.4,212.89,213.2,39326000,-4.21,-1.94,215.475
AMZN,2025-06-10,216.78,217.69,214.15,217.61,31303317,0.83,0.38288,216.5575
AMZN,2025-06-09,214.75,217.85,212.88,216.98,38102502,2.23,1.04,215.615
AMZN,2025-06-06,212.4,213.87,210.5,213.57,39832500,1.17,0.55085,212.585
AMZN,2025-06-05,209.55,212.81,207.56,207.91,51979243,-1.64,-0.78263,209.4575
AMZN,2025-06-04,206.55,208.18,205.18,207.23,29915600,0.68,0.32922,206.785
AMZN,2025-06-03,207.11,208.95,205.03,205.71,33139121,-1.39,-0.67597,206.7
AMZN,2025-06-02,204.98,207.0,202.68,206.65,29113319,1.67,0.81471,205.3275
AMZN,2025-05-30,204.84,205.99,201.7,205.01,51679406,0.17,0.0829916,204.385
AMZN,2025-05-29,208.03,208.81,204.23,205.7,34700005,-2.33,-1.12,206.6925
